age,female_active,female_healthy_retiree,female_disabled_retiree,female_survivor,male_active,male_healthy_retiree,male_disabled_retiree,male_survivor
18,0.00013,,0.00246,,0.00035,,0.00403,
19,0.00013,,0.00245,,0.00036,,0.00421,
20,0.00013,,0.00233,,0.00034,,0.00412,
21,0.00012,,0.00215,,0.00030,,0.00386,
22,0.00010,,0.00194,,0.00025,,0.00352,
23,0.00009,,0.00176,,0.00021,,0.00316,
24,0.00009,,0.00164,,0.00018,,0.00289,
25,0.00009,,0.00164,,0.00016,,0.00278,
26,0.00010,,0.00179,,0.00017,,0.00292,
27,0.00010,,0.00196,,0.00018,,0.00306,
28,0.00011,,0.00215,,0.00019,,0.00321,
29,0.00012,,0.00235,,0.00021,,0.00337,
30,0.00014,,0.00257,,0.00022,,0.00354,
31,0.00015,,0.00281,,0.00024,,0.00372,
32,0.00016,,0.00307,,0.00025,,0.00391,
33,0.00017,,0.00336,,0.00027,,0.00411,
34,0.00019,,0.00367,,0.00028,,0.00434,
35,0.00020,,0.00401,,0.00030,,0.00458,
36,0.00022,,0.00438,,0.00032,,0.00486,
37,0.00024,,0.00479,,0.00034,,0.00518,
38,0.00026,,0.00524,,0.00037,,0.00555,
39,0.00029,,0.00574,,0.00039,,0.00597,
40,0.00031,,0.00629,,0.00042,,0.00645,
41,0.00034,,0.00689,,0.00046,,0.00700,
42,0.00037,,0.00754,,0.00050,,0.00763,
43,0.00041,,0.00825,,0.00055,,0.00834,
44,0.00044,,0.00902,,0.00060,,0.00916,
45,0.00048,,0.00985,0.00262,0.00067,,0.01007,0.00549
46,0.00053,,0.01073,0.00273,0.00074,,0.01109,0.00572
47,0.00058,,0.01167,0.00284,0.00082,,0.01221,0.00596
48,0.00063,,0.01267,0.00296,0.00091,,0.01342,0.00621
49,0.00068,,0.01373,0.00308,0.00100,,0.01470,0.00646
50,0.00073,,0.01483,0.00320,0.00111,,0.01605,0.00701
51,0.00079,,0.01535,0.00342,0.00122,,0.01712,0.00724
52,0.00086,,0.01587,0.00366,0.00133,,0.01818,0.00747
53,0.00092,,0.01640,0.00391,0.00146,,0.01921,0.00771
54,0.00099,,0.01692,0.00417,0.00159,,0.02020,0.00797
55,0.00107,0.00193,0.01742,0.00446,0.00172,0.00223,0.02114,0.00824
56,0.00115,0.00209,0.01789,0.00476,0.00187,0.00245,0.02201,0.00854
57,0.00124,0.00226,0.01833,0.00508,0.00203,0.00269,0.02280,0.00887
58,0.00135,0.00245,0.01874,0.00543,0.00221,0.00296,0.02355,0.00924
59,0.00147,0.00265,0.01914,0.00581,0.00241,0.00325,0.02428,0.00965
60,0.00161,0.00287,0.01956,0.00622,0.00264,0.00357,0.02503,0.01012
61,0.00177,0.00312,0.02000,0.00667,0.00291,0.00393,0.02584,0.01067
62,0.00196,0.00339,0.02051,0.00717,0.00321,0.00434,0.02677,0.01130
63,0.00217,0.00370,0.02110,0.00772,0.00354,0.00479,0.02785,0.01202
64,0.00242,0.00405,0.02178,0.00833,0.00392,0.00532,0.02908,0.01286
65,0.00270,0.00446,0.02256,0.00899,0.00435,0.00592,0.03044,0.01384
66,0.00302,0.00492,0.02346,0.00973,0.00481,0.00662,0.03193,0.01497
67,0.00338,0.00546,0.02450,0.01053,0.00532,0.00743,0.03353,0.01628
68,0.00380,0.00609,0.02569,0.01143,0.00587,0.00837,0.03524,0.01776
69,0.00429,0.00683,0.02706,0.01242,0.00647,0.00945,0.03706,0.01943
70,0.00485,0.00770,0.02862,0.01353,0.00709,0.01070,0.03901,0.02129
71,0.00550,0.00871,0.03039,0.01478,0.00774,0.01214,0.04113,0.02335
72,0.00625,0.00988,0.03239,0.01619,0.00843,0.01379,0.04344,0.02562
73,0.00710,0.01124,0.03464,0.01777,0.00916,0.01569,0.04599,0.02811
74,0.00809,0.01281,0.03718,0.01953,0.00993,0.01785,0.04880,0.03084
75,0.00921,0.01461,0.04003,0.02151,0.01077,0.02031,0.05192,0.03382
76,0.01056,0.01668,0.04322,0.02371,0.01234,0.02312,0.05537,0.03706
77,0.01211,0.01903,0.04678,0.02619,0.01414,0.02629,0.05921,0.04060
78,0.01389,0.02170,0.05075,0.02898,0.01621,0.02986,0.06347,0.04450
